"NAME";"(O)NAME";"DATE_OF_BIRTH";"(O)DATE_OF_BIRTH";"PLACE_OF_BIRTH";"(O)PLACE_OF_BIRTH"
"Klay Thompson";"Klay Thompson";"1990-02-08";"1990-02-08";"Los Angeles";"losangeles"
"Pablo Prigioni";"Pablo Prigioni";"1977-05-17";"1977-03-17";"Río Tercero";"argentina"
"Klay Thompson";"Klay Thompson";"1990-02-08";"1990-02-08";"Los Angeles";"losangeles"
"Tyson Chandler";"Tyson Chandler";"1982-10-02";"1982-10-02";"Hanford";"hanford"
"Tyson Chandler";"Tyson Chandler";"1982-10-02";"1982-10-02";"Hanford";"hanford"
"Tyson Chandler";"Tyson Chandler";"1982-10-02";"1982-10-02";"Hanford";"hanford"
"Jamal Crawford";"Jamal Crawford";"1980-03-20";"1980-03-20";"Seattle";"seattle"
"Jamal Crawford";"Jamal Crawford";"1980-03-20";"1980-03-20";"Seattle";"seattle"
"Jamal Crawford";"Jamal Crawford";"1980-03-20";"1980-03-20";"Seattle";"seattle"
"Raymond Felton";"Raymond Felton";"1984-06-26";"1984-06-26";"Marion";"marion"
"Raymond Felton";"Raymond Felton";"1984-06-26";"1984-06-26";"Marion";"marion"
"Raymond Felton";"Raymond Felton";"1984-06-26";"1984-06-26";"Marion";"marion"
"Glen Davis";"Glen Davis";"1986-01-01";"1986-01-01";"Baton Rouge";"batonrouge"
"Glen Davis";"Glen Davis";"1986-01-01";"1986-01-01";"Baton Rouge";"batonrouge"
"J. J. Redick";"J.J. Redick";"1984-06-24";"1984-06-24";"Cookeville";"cookeville"
"J. J. Redick";"J.J. Redick";"1984-06-24";"1984-06-24";"Cookeville";"cookeville"
"Matt Barnes";"Matt Barnes";"1980-03-09";"1980-03-09";"Santa Clara";"santaclara"
"Matt Barnes";"Matt Barnes";"1980-03-09";"1980-03-09";"Santa Clara";"santaclara"
"Matt Barnes";"Matt Barnes";"1980-03-09";"1980-03-09";"Santa Clara";"santaclara"
"Danny Granger";"Danny Granger";"1983-04-20";"1983-04-20";"New Orleans";"neworleans"
"Danny Granger";"Danny Granger";"1983-04-20";"1983-04-20";"New Orleans";"neworleans"
"Danny Granger";"Danny Granger";"1983-04-20";"1983-04-20";"New Orleans";"neworleans"
"Caron Butler";"Caron Butler";"1980-03-13";"1980-03-13";"Racine";"racine"
"Caron Butler";"Caron Butler";"1980-03-13";"1980-03-13";"Racine";"racine"
"Caron Butler";"Caron Butler";"1980-03-13";"1980-03-13";"Racine";"racine"
"Darren Collison";"Darren Collison";"1987-08-23";"1987-08-23";"Rancho Cucamonga";"ranchocucamonga"
"Darren Collison";"Darren Collison";"1987-08-23";"1987-08-23";"Rancho Cucamonga";"ranchocucamonga"
"Darren Collison";"Darren Collison";"1987-08-23";"1987-08-23";"Rancho Cucamonga";"ranchocucamonga"
"Jared Dudley";"Jared Dudley";"1985-07-10";"1985-07-10";"San Diego";"sandiego"
"Jared Dudley";"Jared Dudley";"1985-07-10";"1985-07-10";"San Diego";"sandiego"
"Jared Dudley";"Jared Dudley";"1985-07-10";"1985-07-10";"San Diego";"sandiego"
"Iman Shumpert";"Iman Shumpert";"1990-06-26";"1990-06-26";"Oak Park";"oakpark"
"Iman Shumpert";"Iman Shumpert";"1990-06-26";"1990-06-26";"Oak Park";"oakpark"
"Iman Shumpert";"Iman Shumpert";"1990-06-26";"1990-06-26";"Oak Park";"oakpark"
"Andrea Bargnani";"Andrea Bargnani";"1985-10-26";"1985-10-26";"Rome";"italy"
"Andrea Bargnani";"Andrea Bargnani";"1985-10-26";"1985-10-26";"Rome";"italy"
"Andrea Bargnani";"Andrea Bargnani";"1985-10-26";"1985-10-26";"Rome";"italy"
"Xavier Henry";"Xavier Henry";"1991-03-15";"1991-03-15";"Ghent";"belgium"
"Xavier Henry";"Xavier Henry";"1991-03-15";"1991-03-15";"Ghent";"belgium"
"Xavier Henry";"Xavier Henry";"1991-03-15";"1991-03-15";"Ghent";"belgium"
"Tiago Splitter";"Tiago Splitter";"1985-01-01";"1985-01-01";"Blumenau";"brazil"
"Tiago Splitter";"Tiago Splitter";"1985-01-01";"1985-01-01";"Blumenau";"brazil"
"Tiago Splitter";"Tiago Splitter";"1985-01-01";"1985-01-01";"Blumenau";"brazil"
"Kobe Bryant";"Kobe Bryant";"1978-08-23";"1978-08-23";"Philadelphia";"philadelphia"
"Kobe Bryant";"Kobe Bryant";"1978-08-23";"1978-08-23";"Philadelphia";"philadelphia"
"Kobe Bryant";"Kobe Bryant";"1978-08-23";"1978-08-23";"Philadelphia";"philadelphia"
"Chris Kaman";"Chris Kaman";"1982-04-28";"1982-04-28";"Grand Rapids";"grandrapids"
"Chris Kaman";"Chris Kaman";"1982-04-28";"1982-04-28";"Grand Rapids";"grandrapids"
"Chris Kaman";"Chris Kaman";"1982-04-28";"1982-04-28";"Grand Rapids";"grandrapids"
"Ömer A??k";"Omer Asik";"1986-07-04";"1986-07-04";"Bursa";"turkey"
"Ömer A??k";"Omer Asik";"1986-07-04";"1986-07-04";"Bursa";"turkey"
"Ömer A??k";"Omer Asik";"1986-07-04";"1986-07-04";"Bursa";"turkey"
"Jordan Farmar";"Jordan Farmar";"1986-11-30";"1986-11-30";"Los Angeles";"losangeles"
"Jordan Farmar";"Jordan Farmar";"1986-11-30";"1986-11-30";"Los Angeles";"losangeles"
"Jordan Farmar";"Jordan Farmar";"1986-11-30";"1986-11-30";"Los Angeles";"losangeles"
"Nate Robinson";"Nate Robinson";"1984-05-31";"1984-05-31";"Seattle";"seattle"
"Nate Robinson";"Nate Robinson";"1984-05-31";"1984-05-31";"Seattle";"seattle"
"Nate Robinson";"Nate Robinson";"1984-05-31";"1984-05-31";"Seattle";"seattle"
"Nikola Pekovi?";"Nikola Pekovic";"1986-01-03";"1986-01-03";"Bijelo Polje";"yugoslavia"
"Nikola Pekovi?";"Nikola Pekovic";"1986-01-03";"1986-01-03";"Bijelo Polje";"yugoslavia"
"Nikola Pekovi?";"Nikola Pekovic";"1986-01-03";"1986-01-03";"Bijelo Polje";"yugoslavia"
"Steve Nash";"Steve Nash";"1974-02-07";"1974-02-07";"Johannesburg";"southafrica"
"Steve Nash";"Steve Nash";"1974-02-07";"1974-02-07";"Johannesburg";"southafrica"
"Steve Nash";"Steve Nash";"1974-02-07";"1974-02-07";"Johannesburg";"southafrica"
"José Calderón";"Jose Calderon";"1981-09-28";"1981-09-28";"Villanueva de la Serena";"spain"
"José Calderón";"Jose Calderon";"1981-09-28";"1981-09-28";"Villanueva de la Serena";"spain"
"José Calderón";"Jose Calderon";"1981-09-28";"1981-09-28";"Villanueva de la Serena";"spain"
"Nick Young";"Nick Young";"1985-06-01";"1985-06-01";"Los Angeles";"losangeles"
"Nick Young";"Nick Young";"1985-06-01";"1985-06-01";"Los Angeles";"losangeles"
"Nick Young";"Nick Young";"1985-06-01";"1985-06-01";"Los Angeles";"losangeles"
"Jimmy Butler";"Jimmy Butler";"1989-09-14";"1989-09-14";"Houston";"houston"
"Jimmy Butler";"Jimmy Butler";"1989-09-14";"1989-09-14";"Houston";"houston"
"Jimmy Butler";"Jimmy Butler";"1989-09-14";"1989-09-14";"Houston";"houston"
"Dion Waiters";"Dion Waiters";"1991-12-10";"1991-12-10";"Philadelphia";"philadelphia"
"Dion Waiters";"Dion Waiters";"1991-12-10";"1991-12-10";"Philadelphia";"philadelphia"
"Dion Waiters";"Dion Waiters";"1991-12-10";"1991-12-10";"Philadelphia";"philadelphia"
"Jodie Meeks";"Jodie Meeks";"1987-08-21";"1987-08-21";"Nashville";"nashville"
"Jodie Meeks";"Jodie Meeks";"1987-08-21";"1987-08-21";"Nashville";"nashville"
"Jodie Meeks";"Jodie Meeks";"1987-08-21";"1987-08-21";"Nashville";"nashville"
"Brandan Wright";"Brandan Wright";"1987-10-05";"1987-10-05";"Nashville";"nashville"
"Brandan Wright";"Brandan Wright";"1987-10-05";"1987-10-05";"Nashville";"nashville"
"Brandan Wright";"Brandan Wright";"1987-10-05";"1987-10-05";"Nashville";"nashville"
"Chauncey Billups";"Chauncey Billups";"1976-09-25";"1976-09-25";"Denver";"denver"
"Chauncey Billups";"Chauncey Billups";"1976-09-25";"1976-09-25";"Denver";"denver"
"Chauncey Billups";"Chauncey Billups";"1976-09-25";"1976-09-25";"Denver";"denver"
"Eric Bledsoe";"Eric Bledsoe";"1989-12-09";"1989-12-09";"Birmingham";"birmingham"
"Eric Bledsoe";"Eric Bledsoe";"1989-12-09";"1989-12-09";"Birmingham";"birmingham"
"Eric Bledsoe";"Eric Bledsoe";"1989-12-09";"1989-12-09";"Birmingham";"birmingham"
"Reggie Evans";"Reggie Evans";"1980-05-18";"1980-05-18";"Pensacola";"pensacola"
"Reggie Evans";"Reggie Evans";"1980-05-18";"1980-05-18";"Pensacola";"pensacola"
"George Hill";"George Hill";"1986-05-04";"1986-05-04";"Indianapolis";"indianapolis"
"George Hill";"George Hill";"1986-05-04";"1986-05-04";"Indianapolis";"indianapolis"
"George Hill";"George Hill";"1986-05-04";"1986-05-04";"Indianapolis";"indianapolis"
"Chris Copeland";"Chris Copeland";"1984-03-17";"1984-03-17";"Orange";"orange"
"Chris Copeland";"Chris Copeland";"1984-03-17";"1984-03-17";"Orange";"orange"
"Chris Copeland";"Chris Copeland";"1984-03-17";"1984-03-17";"Orange";"orange"
"Derek Fisher";"Derek Fisher";"1974-08-09";"1974-08-09";"Little Rock";"littlerock"
"Derek Fisher";"Derek Fisher";"1974-08-09";"1974-08-09";"Little Rock";"littlerock"
"Derek Fisher";"Derek Fisher";"1974-08-09";"1974-08-09";"Little Rock";"littlerock"
"Jason Terry";"Jason Terry";"1977-09-15";"1977-09-15";"Seattle";"seattle"
"Jason Terry";"Jason Terry";"1977-09-15";"1977-09-15";"Seattle";"seattle"
"Jason Terry";"Jason Terry";"1977-09-15";"1977-09-15";"Seattle";"seattle"
"Mike James";"Mike James";"1975-06-23";"1975-06-23";"Copiague";"amityville"
"Mike James";"Mike James";"1975-06-23";"1975-06-23";"Copiague";"amityville"
"Derrick Rose";"Derrick Rose";"1988-10-04";"1988-10-04";"Chicago";"chicago"
"Derrick Rose";"Derrick Rose";"1988-10-04";"1988-10-04";"Chicago";"chicago"
"Derrick Rose";"Derrick Rose";"1988-10-04";"1988-10-04";"Chicago";"chicago"
"DeJuan Blair";"DeJuan Blair";"1989-04-22";"1989-04-22";"Pittsburgh";"pittsburgh"
"DeJuan Blair";"DeJuan Blair";"1989-04-22";"1989-04-22";"Pittsburgh";"pittsburgh"
"DeJuan Blair";"DeJuan Blair";"1989-04-22";"1989-04-22";"Pittsburgh";"pittsburgh"
"Larry Sanders";"Larry Sanders";"1988-11-21";"1988-11-21";"Fort Pierce";"fortpierce"
"Larry Sanders";"Larry Sanders";"1988-11-21";"1988-11-21";"Fort Pierce";"fortpierce"
"Larry Sanders";"Larry Sanders";"1988-11-21";"1988-11-21";"Fort Pierce";"fortpierce"
"Luol Deng";"Luol Deng";"1985-04-16";"1985-04-16";"Wau";"sudan"
"Luol Deng";"Luol Deng";"1985-04-16";"1985-04-16";"Wau";"sudan"
"Luol Deng";"Luol Deng";"1985-04-16";"1985-04-16";"Wau";"sudan"
"Gal Mekel";"Gal Mekel";"1988-03-04";"1988-03-04";"Petah Tikva";"israel"
"Gal Mekel";"Gal Mekel";"1988-03-04";"1988-03-04";"Petah Tikva";"israel"
"Tony Allen";"Tony Allen";"1982-01-11";"1982-01-11";"Chicago";"chicago"
"Shawn Marion";"Shawn Marion";"1978-05-07";"1978-05-07";"Waukegan";"chicago"
"Tony Allen";"Tony Allen";"1982-01-11";"1982-01-11";"Chicago";"chicago"
"Shawn Marion";"Shawn Marion";"1978-05-07";"1978-05-07";"Waukegan";"chicago"
"Shawn Marion";"Shawn Marion";"1978-05-07";"1978-05-07";"Waukegan";"chicago"
"Jae Crowder";"Jae Crowder";"1990-07-06";"1990-07-06";"Villa Rica";"villarica"
"Jae Crowder";"Jae Crowder";"1990-07-06";"1990-07-06";"Villa Rica";"villarica"
"Jae Crowder";"Jae Crowder";"1990-07-06";"1990-07-06";"Villa Rica";"villarica"
"Bernard James";"Bernard James";"1985-02-07";"1985-02-07";"Savannah";"savannah"
"Bernard James";"Bernard James";"1985-02-07";"1985-02-07";"Savannah";"savannah"
"Samuel Dalembert";"Samuel Dalembert";"1981-05-10";"1981-05-10";"Port-au-Prince";"haiti"
"Samuel Dalembert";"Samuel Dalembert";"1981-05-10";"1981-05-10";"Port-au-Prince";"haiti"
"Patrick Beverley";"Patrick Beverley";"1988-07-12";"1988-07-12";"Chicago";"chicago"
"Patrick Beverley";"Patrick Beverley";"1988-07-12";"1988-07-12";"Chicago";"chicago"
"Vince Carter";"Vince Carter";"1977-01-26";"1977-01-26";"Daytona Beach";"daytonabeach"
"Vince Carter";"Vince Carter";"1977-01-26";"1977-01-26";"Daytona Beach";"daytonabeach"
"Vince Carter";"Vince Carter";"1977-01-26";"1977-01-26";"Daytona Beach";"daytonabeach"
"Samuel Dalembert";"Samuel Dalembert";"1981-05-10";"1981-05-10";"Port-au-Prince";"haiti"
"Monta Ellis";"Monta Ellis";"1985-10-26";"1985-10-26";"Jackson";"jackson"
"Monta Ellis";"Monta Ellis";"1985-10-26";"1985-10-26";"Jackson";"jackson"
"Monta Ellis";"Monta Ellis";"1985-10-26";"1985-10-26";"Jackson";"jackson"
"Mike Miller";"Mike Miller";"1980-02-19";"1980-02-19";"Mitchell";"mitchell"
"Mike Miller";"Mike Miller";"1980-02-19";"1980-02-19";"Mitchell";"mitchell"
"Mike Miller";"Mike Miller";"1980-02-19";"1980-02-19";"Mitchell";"mitchell"
"James Harden";"James Harden";"1989-08-26";"1989-08-26";"Los Angeles";"bellflower"
"James Harden";"James Harden";"1989-08-26";"1989-08-26";"Los Angeles";"bellflower"
"James Harden";"James Harden";"1989-08-26";"1989-08-26";"Los Angeles";"bellflower"
"Zach Randolph";"Zach Randolph";"1981-07-16";"1981-07-16";"Marion";"marion"
"Zach Randolph";"Zach Randolph";"1981-07-16";"1981-07-16";"Marion";"marion"
"Zach Randolph";"Zach Randolph";"1981-07-16";"1981-07-16";"Marion";"marion"
"Michael Beasley";"Michael Beasley";"1989-01-09";"1989-01-09";"Prince George's County";"frederick"
"Michael Beasley";"Michael Beasley";"1989-01-09";"1989-01-09";"Prince George's County";"frederick"
"Kawhi Leonard";"Kawhi Leonard";"1991-06-29";"1991-06-29";"Los Angeles";"losangeles"
"Kawhi Leonard";"Kawhi Leonard";"1991-06-29";"1991-06-29";"Los Angeles";"losangeles"
"Kawhi Leonard";"Kawhi Leonard";"1991-06-29";"1991-06-29";"Los Angeles";"losangeles"
"Greg Oden";"Greg Oden";"1988-01-22";"1988-01-22";"Buffalo";"buffalo"
"Greg Oden";"Greg Oden";"1988-01-22";"1988-01-22";"Buffalo";"buffalo"
"Greg Oden";"Greg Oden";"1988-01-22";"1988-01-22";"Buffalo";"buffalo"
"Elton Brand";"Elton Brand";"1979-03-11";"1979-03-11";"Cortlandt Manor";"cortland"
"Elton Brand";"Elton Brand";"1979-03-11";"1979-03-11";"Cortlandt Manor";"cortland"
"Elton Brand";"Elton Brand";"1979-03-11";"1979-03-11";"Cortlandt Manor";"cortland"
"Ray Allen";"Ray Allen";"1975-07-20";"1975-07-20";"Merced";"merced"
"Ray Allen";"Ray Allen";"1975-07-20";"1975-07-20";"Merced";"merced"
"Ray Allen";"Ray Allen";"1975-07-20";"1975-07-20";"Merced";"merced"
"Chris Andersen";"Chris Andersen";"1978-07-07";"1978-07-07";"Long Beach";"iola"
"Chris Andersen";"Chris Andersen";"1978-07-07";"1978-07-07";"Long Beach";"iola"
"Chris Andersen";"Chris Andersen";"1978-07-07";"1978-07-07";"Long Beach";"iola"
"Kevin Martin";"Kevin Martin";"1983-02-01";"1983-02-01";"Zanesville";"zanesville"
"Kevin Martin";"Kevin Martin";"1983-02-01";"1983-02-01";"Zanesville";"zanesville"
"Kevin Martin";"Kevin Martin";"1983-02-01";"1983-02-01";"Zanesville";"zanesville"
"Damian Lillard";"Damian Lillard";"1990-07-15";"1990-07-05";"Oakland";"oakland"
"Damian Lillard";"Damian Lillard";"1990-07-15";"1990-07-05";"Oakland";"oakland"
"Damian Lillard";"Damian Lillard";"1990-07-15";"1990-07-05";"Oakland";"oakland"
"Russell Westbrook";"Russell Westbrook";"1988-11-12";"1988-11-12";"Long Beach";"longbeach"
"Russell Westbrook";"Russell Westbrook";"1988-11-12";"1988-11-12";"Long Beach";"longbeach"
"Russell Westbrook";"Russell Westbrook";"1988-11-12";"1988-11-12";"Long Beach";"longbeach"
"Courtney Lee";"Courtney Lee";"1985-10-03";"1985-10-03";"Indianapolis";"indianapolis"
"Courtney Lee";"Courtney Lee";"1985-10-03";"1985-10-03";"Indianapolis";"indianapolis"
"Courtney Lee";"Courtney Lee";"1985-10-03";"1985-10-03";"Indianapolis";"indianapolis"
"Gerald Wallace";"Gerald Wallace";"1982-07-23";"1982-07-23";"Sylacauga";"sylacauga"
"Gerald Wallace";"Gerald Wallace";"1982-07-23";"1982-07-23";"Sylacauga";"sylacauga"
"Gerald Wallace";"Gerald Wallace";"1982-07-23";"1982-07-23";"Sylacauga";"sylacauga"
"Jordan Crawford";"Jordan Crawford";"1988-10-23";"1988-10-23";"Detroit";"detroit"
"Lance Stephenson";"Lance Stephenson";"1990-09-05";"1990-09-05";"Brooklyn";"brooklyn"
"Jordan Crawford";"Jordan Crawford";"1988-10-23";"1988-10-23";"Detroit";"detroit"
"Lance Stephenson";"Lance Stephenson";"1990-09-05";"1990-09-05";"Brooklyn";"brooklyn"
"Lance Stephenson";"Lance Stephenson";"1990-09-05";"1990-09-05";"Brooklyn";"brooklyn"
"Tony Parker";"Tony Parker";"1982-05-17";"1982-05-17";"Bruges";"belgium"
"Tony Parker";"Tony Parker";"1982-05-17";"1982-05-17";"Bruges";"belgium"
"Tony Parker";"Tony Parker";"1982-05-17";"1982-05-17";"Bruges";"belgium"
"Avery Bradley";"Avery Bradley";"1990-11-26";"1990-11-26";"Tacoma";"tacoma"
"Avery Bradley";"Avery Bradley";"1990-11-26";"1990-11-26";"Tacoma";"tacoma"
"Avery Bradley";"Avery Bradley";"1990-11-26";"1990-11-26";"Tacoma";"tacoma"
"Manu Ginóbili";"Manu Ginobili";"1977-07-28";"1977-07-28";"Bahía Blanca";"argentina"
"Manu Ginóbili";"Manu Ginobili";"1977-07-28";"1977-07-28";"Bahía Blanca";"argentina"
"Manu Ginóbili";"Manu Ginobili";"1977-07-28";"1977-07-28";"Bahía Blanca";"argentina"
"Paul George";"Paul George";"1990-05-02";"1990-05-02";"Palmdale";"palmdale"
"Paul George";"Paul George";"1990-05-02";"1990-05-02";"Palmdale";"palmdale"
"Paul George";"Paul George";"1990-05-02";"1990-05-02";"Palmdale";"palmdale"
"Josh Smith";"Josh Smith";"1985-12-05";"1985-12-05";"College Park";"collegepark"
"Josh Smith";"Josh Smith";"1985-12-05";"1985-12-05";"College Park";"collegepark"
"Josh Smith";"Josh Smith";"1985-12-05";"1985-12-05";"College Park";"collegepark"
"Andre Drummond";"Andre Drummond";"1993-08-10";"1993-08-10";"Mount Vernon";"mountvernon"
"Andre Drummond";"Andre Drummond";"1993-08-10";"1993-08-10";"Mount Vernon";"mountvernon"
"Andre Drummond";"Andre Drummond";"1993-08-10";"1993-08-10";"Mount Vernon";"mountvernon"
"Chris Paul";"Chris Paul";"1985-05-06";"1985-05-06";"Winston-Salem";"winston-salem"
"Chris Paul";"Chris Paul";"1985-05-06";"1985-05-06";"Winston-Salem";"winston-salem"
"Chris Paul";"Chris Paul";"1985-05-06";"1985-05-06";"Winston-Salem";"winston-salem"
"Kevin Love";"Kevin Love";"1988-09-07";"1988-09-07";"Santa Monica";"santamonica"
"Kevin Love";"Kevin Love";"1988-09-07";"1988-09-07";"Santa Monica";"santamonica"
"Kevin Love";"Kevin Love";"1988-09-07";"1988-09-07";"Santa Monica";"santamonica"
"Mike Conley, Jr.";"Mike Conley";"1987-10-11";"1987-10-11";"Fayetteville";"indianapolis"
"Mike Conley, Jr.";"Mike Conley";"1987-10-11";"1987-10-11";"Fayetteville";"indianapolis"
"Mike Conley, Jr.";"Mike Conley";"1987-10-11";"1987-10-11";"Fayetteville";"indianapolis"
"Brandon Jennings";"Brandon Jennings";"1989-09-23";"1989-09-23";"Compton";"compton"
"Brandon Jennings";"Brandon Jennings";"1989-09-23";"1989-09-23";"Compton";"compton"
"Brandon Jennings";"Brandon Jennings";"1989-09-23";"1989-09-23";"Compton";"compton"
"Roy Hibbert";"Roy Hibbert";"1986-12-11";"1986-12-11";"Queens";"queens"
"John Wall";"John Wall";"1990-09-06";"1990-09-06";"Raleigh";"raleigh"
"LaMarcus Aldridge";"LaMarcus Aldridge";"1985-07-19";"1985-07-19";"Dallas";"dallas"
"John Wall";"John Wall";"1990-09-06";"1990-09-06";"Raleigh";"raleigh"
"LaMarcus Aldridge";"LaMarcus Aldridge";"1985-07-19";"1985-07-19";"Dallas";"dallas"
"John Wall";"John Wall";"1990-09-06";"1990-09-06";"Raleigh";"raleigh"
"LaMarcus Aldridge";"LaMarcus Aldridge";"1985-07-19";"1985-07-19";"Dallas";"dallas"
"Al Jefferson";"Al Jefferson";"1985-01-04";"1985-01-04";"Monticello";"monticello"
"Al Jefferson";"Al Jefferson";"1985-01-04";"1985-01-04";"Monticello";"monticello"
"Al Jefferson";"Al Jefferson";"1985-01-04";"1985-01-04";"Monticello";"monticello"
"Roy Hibbert";"Roy Hibbert";"1986-12-11";"1986-12-11";"Queens";"queens"
"Roy Hibbert";"Roy Hibbert";"1986-12-11";"1986-12-11";"Queens";"queens"
"Kyrie Irving";"Kyrie Irving";"1992-03-23";"1992-03-23";"Melbourne";"australia"
"Kyrie Irving";"Kyrie Irving";"1992-03-23";"1992-03-23";"Melbourne";"australia"
"Kyrie Irving";"Kyrie Irving";"1992-03-23";"1992-03-23";"Melbourne";"australia"
"Ricky Rubio";"Ricky Rubio";"1990-10-21";"1990-10-21";"El Masnou";"spain"
"Ricky Rubio";"Ricky Rubio";"1990-10-21";"1990-10-21";"El Masnou";"spain"
"Ricky Rubio";"Ricky Rubio";"1990-10-21";"1990-10-21";"El Masnou";"spain"
"Serge Ibaka";"Serge Ibaka";"1989-09-18";"1989-09-18";"Brazzaville";
"Serge Ibaka";"Serge Ibaka";"1989-09-18";"1989-09-18";"Brazzaville";
"Serge Ibaka";"Serge Ibaka";"1989-09-18";"1989-09-18";"Brazzaville";
"Anthony Davis";"Anthony Davis";"1993-03-11";"1993-03-11";"Chicago";"chicago"
"Anthony Davis";"Anthony Davis";"1993-03-11";"1993-03-11";"Chicago";"chicago"
"Anthony Davis";"Anthony Davis";"1993-03-11";"1993-03-11";"Chicago";"chicago"
"Dwight Howard";"Dwight Howard";"1985-12-08";"1985-12-08";"Atlanta";"atlanta"
"Dwight Howard";"Dwight Howard";"1985-12-08";"1985-12-08";"Atlanta";"atlanta"
"Dwight Howard";"Dwight Howard";"1985-12-08";"1985-12-08";"Atlanta";"atlanta"
"Kevin Durant";"Kevin Durant";"1988-09-29";"1988-09-29";"Washington, D.C.";"washington"
"Kevin Durant";"Kevin Durant";"1988-09-29";"1988-09-29";"Washington, D.C.";"washington"
"Kevin Durant";"Kevin Durant";"1988-09-29";"1988-09-29";"Washington, D.C.";"washington"
"Devin Harris";"Devin Harris";"1983-02-27";"1983-02-27";"Milwaukee";"milwaukee"
"David West";"David West";"1980-08-29";"1980-08-29";"Teaneck";"teaneck"
"Devin Harris";"Devin Harris";"1983-02-27";"1983-02-27";"Milwaukee";"milwaukee"
"David West";"David West";"1980-08-29";"1980-08-29";"Teaneck";"teaneck"
"Devin Harris";"Devin Harris";"1983-02-27";"1983-02-27";"Milwaukee";"milwaukee"
"David West";"David West";"1980-08-29";"1980-08-29";"Teaneck";"teaneck"
"Kenneth Faried";"Kenneth Faried";"1989-11-19";"1989-11-19";"Newark";"newark"
"Andrew Bynum";"Andrew Bynum";"1987-10-27";"1987-10-27";"Plainsboro";"plainsboro"
"Andrew Bynum";"Andrew Bynum";"1987-10-27";"1987-10-27";"Plainsboro";"plainsboro"
"Andrew Bynum";"Andrew Bynum";"1987-10-27";"1987-10-27";"Plainsboro";"plainsboro"
"DeAndre Jordan";"DeAndre Jordan";"1988-07-21";"1988-07-21";"Houston";"houston"
"Kenneth Faried";"Kenneth Faried";"1989-11-19";"1989-11-19";"Newark";"newark"
"DeAndre Jordan";"DeAndre Jordan";"1988-07-21";"1988-07-21";"Houston";"houston"
"DeAndre Jordan";"DeAndre Jordan";"1988-07-21";"1988-07-21";"Houston";"houston"
"Chris Bosh";"Chris Bosh";"1984-03-24";"1984-03-24";"Dallas";"dallas"
"Chris Bosh";"Chris Bosh";"1984-03-24";"1984-03-24";"Dallas";"dallas"
"Chris Bosh";"Chris Bosh";"1984-03-24";"1984-03-24";"Dallas";"dallas"
"Blake Griffin";"Blake Griffin";"1989-03-16";"1989-03-16";"Oklahoma City";"oklahomacity"
"Blake Griffin";"Blake Griffin";"1989-03-16";"1989-03-16";"Oklahoma City";"oklahomacity"
"Blake Griffin";"Blake Griffin";"1989-03-16";"1989-03-16";"Oklahoma City";"oklahomacity"
"Andre Iguodala";"Andre Iguodala";"1984-01-28";"1984-01-28";"Springfield";"springfield"
"Andre Iguodala";"Andre Iguodala";"1984-01-28";"1984-01-28";"Springfield";"springfield"
"Andre Iguodala";"Andre Iguodala";"1984-01-28";"1984-01-28";"Springfield";"springfield"
"Jeremy Lin";"Jeremy Lin";"1988-08-23";"1988-08-23";"Los Angeles";"paloalto"
